R,G,B,TextColor
251,22,2,black
250,212,192,black
63,245,192,black
92,54,93,white
202,123,135,black
65,71,74,white
151,179,19,black
254,162,45,black
9,16,47,white
139,74,102,white
150,57,59,white
231,203,33,black
212,213,201,black
113,61,132,white
118,38,174,white
73,135,35,black
16,190,220,black
33,177,53,black
103,72,213,white
171,255,165,black
242,39,162,black
229,118,206,black
49,74,198,white
150,142,112,black
167,42,117,white
111,77,199,white
126,28,23,white
92,55,66,white
254,211,203,black
246,86,25,black
73,46,212,white
36,145,166,black
238,223,215,black
31,197,104,black
4,189,199,black
107,125,140,black
231,143,31,black
1,179,190,black
233,28,91,black
185,209,0,black
112,55,73,white
18,124,16,white
198,166,246,black
17,177,255,black
125,140,109,black
63,73,131,white
108,54,65,white
198,93,79,black
205,249,94,black
205,84,35,black
191,243,11,black
204,104,195,black
248,77,63,black
39,238,144,black
139,23,109,white
181,231,96,black
224,54,111,black
34,85,162,white
87,2,230,white
223,211,166,black
198,81,190,black
237,162,205,black
205,50,13,white
191,4,59,white
41,244,94,black
118,227,105,black
96,91,225,white
182,145,113,black
175,35,232,white
190,169,95,black
9,123,67,white
237,51,122,black
235,80,156,black
105,68,127,white
210,10,23,white
127,89,28,white
53,209,46,black
208,237,154,black
221,5,67,white
150,139,137,black
221,245,97,black
211,29,120,white
129,14,146,white
34,133,139,black
209,239,47,black
105,13,0,white
251,199,108,black
3,18,4,white
37,143,247,black
222,224,177,black
62,45,1,white
62,4,71,white
32,245,199,black
244,58,52,black
213,116,193,black
191,160,11,black
71,206,254,black
160,189,54,black
103,181,232,black
125,118,23,white
117,125,86,black
89,140,89,black
245,175,238,black
225,237,140,black
122,169,126,black
21,209,52,black
9,59,221,white
192,211,226,black
111,14,235,white
13,93,238,white
146,10,177,white
107,175,64,black
149,186,104,black
206,171,213,black
110,2,31,white
122,242,241,black
30,59,52,white
170,54,87,white
159,162,4,black
209,51,41,white
46,225,42,black
110,97,182,white
179,13,132,white
103,147,154,black
7,41,3,white
248,42,251,black
230,161,154,black
1,22,17,white
44,233,254,black
218,239,73,black
175,74,169,white
7,14,36,white
203,37,202,black
226,3,200,black
121,169,194,black
44,47,50,white
224,238,185,black
66,101,21,white
39,135,80,black
205,221,54,black
34,151,90,black
218,199,58,black
137,234,176,black
49,241,171,black
217,83,224,black
171,199,99,black
44,25,69,white
78,187,33,black
63,245,121,black
170,91,119,white
236,133,56,black
223,227,118,black
46,134,47,white
232,175,137,black
222,108,227,black
102,199,68,black
143,215,167,black
69,3,44,white
42,219,175,black
250,48,137,black
236,197,65,black
122,56,192,white
3,51,5,white
154,122,87,black
202,140,127,black
36,82,71,white
165,205,194,black
253,23,208,black
174,10,2,white
69,194,255,black
111,220,213,black
96,120,20,white
5,253,26,black
107,102,166,white
199,78,40,white
162,8,32,white
172,249,232,black
225,9,255,black
195,124,179,black
173,210,69,black
56,238,195,black
245,89,91,black
250,146,161,black
75,213,205,black
194,15,142,white
27,69,178,white
118,220,76,black
189,77,171,black
123,172,67,black
33,19,83,white
107,128,200,black
98,109,112,white
102,92,93,white
52,188,59,black
52,162,233,black
124,81,86,white
150,102,30,white
153,212,45,black
215,114,213,black
235,169,52,black
120,101,248,black
251,1,24,black
178,48,215,white
218,111,201,black
248,124,80,black
37,75,53,white
85,88,61,white
45,193,103,black
121,90,82,white
47,142,131,black
112,255,237,black
169,13,21,white
11,224,175,black
206,73,133,black
115,94,198,white
31,122,8,white
207,26,139,white
245,151,187,black
18,24,194,white
97,215,166,black
38,55,100,white
212,217,215,black
73,34,32,white
4,166,252,black
35,47,56,white
198,119,28,black
24,231,26,black
10,235,177,black
60,78,213,white
8,17,250,white
9,228,177,black
248,188,96,black
128,59,140,white
215,118,185,black
144,168,59,black
71,92,141,white
54,25,27,white
86,201,210,black
247,151,83,black
51,12,202,white
218,178,157,black
252,239,237,black
52,162,61,black
168,240,153,black
33,86,133,white
91,78,188,white
109,228,27,black
39,66,25,white
72,201,81,black
139,120,97,black
222,86,136,black
89,167,197,black
8,127,104,white
225,148,100,black
224,119,7,black
34,63,232,white
53,200,242,black
97,179,181,black
27,128,219,black
168,103,7,black
202,13,181,white
57,15,105,white
92,170,48,black
130,132,160,black
132,15,184,white
123,22,198,white
151,126,20,black
207,208,31,black
136,117,183,black
39,210,186,black
130,81,179,white
57,9,249,white
33,155,124,black
219,137,15,black
48,80,185,white
98,208,216,black
43,205,128,black
94,110,185,white
158,86,115,white
80,183,9,black
12,34,234,white
78,202,206,black
33,71,214,white
57,152,107,black
63,157,171,black
244,112,10,black
47,33,184,white
23,152,70,black
24,72,64,white
41,23,149,white
233,23,128,black
22,12,194,white
49,3,247,white
93,86,185,white
80,21,113,white
193,157,4,black
60,75,79,white
21,177,235,black
195,176,46,black
220,134,53,black
121,194,24,black
65,231,238,black
174,14,150,white
239,25,36,black
30,205,229,black
231,112,39,black
120,119,119,black
20,40,150,white
235,29,186,black
136,182,136,black
75,128,213,black
61,213,236,black
43,58,196,white
184,163,39,black
172,91,104,white
145,61,95,white
87,13,203,white
144,167,35,black
150,142,254,black
9,130,80,white
187,228,120,black
148,215,148,black
95,28,201,white
62,126,188,black
7,72,116,white
129,197,138,black
2,45,84,white
156,189,51,black
120,184,69,black
85,193,244,black
149,149,47,black
211,242,120,black
201,194,84,black
161,195,173,black
145,159,85,black
31,158,118,black
11,31,141,white
142,69,67,white
146,185,73,black
147,183,97,black
81,124,10,white
93,146,28,black
216,33,52,white
37,32,182,white
31,9,218,white
82,171,16,black
219,161,171,black
29,232,30,black
103,195,187,black
12,244,14,black
209,1,185,white
124,73,18,white
17,203,217,black
135,131,169,black
45,56,58,white
90,99,13,white
210,22,17,white
215,99,85,black
161,1,107,white
217,0,172,white
253,168,207,black
94,240,89,black
69,56,79,white
174,222,115,black
221,15,39,white
183,251,153,black
200,30,2,white
98,115,241,black
69,117,232,black
218,205,252,black
218,242,87,black
39,219,246,black
226,172,167,black
255,86,69,black
229,85,205,black
162,235,76,black
223,148,113,black
35,4,250,white
46,199,186,black
11,44,90,white
254,222,177,black
172,140,160,black
179,224,30,black
14,20,83,white
239,100,78,black
94,218,156,black
90,252,102,black
32,52,201,white
192,135,197,black
202,244,34,black
229,194,76,black
134,133,206,black
238,53,148,black
4,28,253,white
184,119,58,black
108,194,97,black
19,248,173,black
243,101,255,black
13,208,134,black
209,131,67,black
21,17,247,white
127,178,2,black
26,213,10,black
128,46,111,white
43,27,50,white
226,214,40,black
203,144,188,black
88,110,190,white
56,88,5,white
244,1,23,black
57,85,220,white
137,91,33,white
154,42,107,white
221,234,227,black
39,175,249,black
218,176,211,black
238,227,205,black
15,35,168,white
176,230,37,black
243,252,140,black
199,91,179,black
40,141,9,black
126,146,27,black
56,203,240,black
249,117,31,black
82,128,209,black
45,26,171,white
226,92,117,black
122,166,137,black
121,16,128,white
1,116,97,white
138,165,133,black
102,162,5,black
137,2,209,white
34,137,191,black
241,107,195,black
182,22,51,white
163,106,129,black
72,131,196,black
206,15,232,black
11,5,156,white
165,112,63,black
25,98,206,white
153,33,5,white
158,4,159,white
92,229,210,black
68,234,160,black
125,129,252,black
108,235,67,black
105,138,104,black
30,150,118,black
31,10,134,white
15,141,212,black
240,130,181,black
148,192,226,black
186,87,3,white
28,170,54,black
202,104,56,black
67,95,147,white
250,92,81,black
18,145,200,black
177,219,208,black
232,82,31,black
1,231,29,black
96,233,247,black
100,190,35,black
249,64,185,black
25,246,53,black
38,28,54,white
10,251,6,black
61,39,241,white
34,104,120,white
139,227,248,black
248,120,252,black
78,118,139,white
228,251,2,black
240,224,90,black
252,184,79,black
79,54,251,white
184,16,211,white
163,73,254,black
107,8,62,white
201,110,142,black
1,34,235,white
60,69,177,white
195,135,123,black
74,7,122,white
174,86,32,white
29,122,138,white
80,20,112,white
250,34,35,black
233,131,232,black
30,112,191,white
5,53,111,white
81,87,26,white
123,141,111,black
143,171,55,black
97,90,204,white
231,188,215,black
183,213,56,black
64,55,116,white
197,30,68,white
130,153,15,black
138,66,207,white
211,104,112,black
131,191,40,black
213,234,204,black
208,9,169,white
133,181,222,black
244,157,46,black
78,223,53,black
39,40,69,white
5,178,238,black
81,66,9,white
234,154,207,black
241,92,107,black
116,199,75,black
27,96,45,white
6,160,244,black
56,237,189,black
85,188,4,black
142,195,249,black
238,203,222,black
67,51,112,white
23,127,33,white
234,250,76,black
104,176,140,black
129,124,178,black
170,191,117,black
52,75,23,white
126,24,219,white
30,200,206,black
23,254,98,black
159,255,62,black
137,217,156,black
78,173,99,black
134,195,17,black
160,17,251,white
162,97,79,white
223,80,118,black
206,83,178,black
196,227,69,black
18,10,213,white
136,31,166,white
220,229,235,black
17,200,62,black
90,230,46,black
188,92,119,black
18,181,62,black
163,242,142,black
168,47,90,white
220,189,7,black
150,105,117,white
83,51,81,white
79,234,54,black
55,150,44,black
116,229,153,black
45,183,174,black
67,96,154,white
254,155,58,black
168,248,50,black
195,149,20,black
185,17,33,white
57,198,40,black
237,120,211,black
224,109,255,black
241,50,70,black
32,46,224,white
152,188,118,black
113,63,157,white
15,184,144,black
32,86,254,white
46,18,166,white
192,54,43,white
199,2,223,white
141,89,60,white
70,249,110,black
179,215,91,black
12,253,10,black
255,188,197,black
109,26,8,white
241,183,122,black
65,41,151,white
231,5,241,black
171,176,94,black
98,152,113,black
246,212,188,black
93,121,247,black
86,89,195,white
252,19,109,black
218,150,105,black
93,98,240,white
98,129,130,black
86,50,160,white
131,18,179,white
157,24,226,white
36,161,139,black
131,106,142,white
116,184,77,black
44,73,202,white
48,100,31,white
176,89,125,white
69,46,9,white
74,137,8,black
183,9,107,white
176,23,30,white
160,219,103,black
29,223,181,black
191,151,94,black
35,186,48,black
36,197,98,black
131,10,107,white
95,101,13,white
2,40,79,white
53,210,131,black
79,123,169,black
180,245,150,black
61,219,20,black
154,11,91,white
89,5,158,white
52,19,120,white
118,18,9,white
54,157,149,black
198,13,199,white
45,21,46,white
120,34,15,white
108,68,212,white
188,161,131,black
184,133,24,black
207,148,223,black
115,57,117,white
138,62,38,white
83,175,141,black
128,185,0,black
178,100,76,black
33,142,165,black
23,211,133,black
164,90,125,white
200,242,217,black
87,204,83,black
46,36,246,white
21,115,3,white
191,53,40,white
132,196,154,black
124,136,93,black
222,22,130,white
73,240,128,black
81,25,254,white
59,140,239,black
131,64,71,white
35,64,160,white
39,59,231,white
224,190,98,black
1,26,117,white
41,108,45,white
207,13,118,white
40,140,147,black
26,98,39,white
26,32,33,white
39,253,165,black
136,254,79,black
67,108,72,white
216,94,91,black
99,245,109,black
198,114,253,black
85,142,246,black
119,73,101,white
51,8,79,white
72,184,183,black
187,63,143,white
175,190,218,black
86,21,36,white
162,199,93,black
32,26,192,white
100,177,174,black
56,14,128,white
187,205,140,black
188,174,104,black
48,217,173,black
121,126,83,black
51,9,161,white
206,209,12,black
60,139,20,black
34,158,143,black
203,11,0,white
160,42,227,white
114,158,159,black
184,80,134,white
70,179,226,black
213,29,93,white
11,148,20,black
88,77,27,white
205,34,245,black
53,212,204,black
52,147,252,black
63,105,245,white
243,139,62,black
69,250,234,black
241,109,116,black
165,154,88,black
232,120,182,black
198,9,160,white
164,35,41,white
191,60,70,white
104,95,135,white
69,44,34,white
219,13,12,white
122,184,80,black
59,216,179,black
23,79,69,white
104,55,29,white
9,87,222,white
153,207,78,black
98,8,157,white
198,203,61,black
123,90,197,white
247,107,111,black
206,148,129,black
189,137,29,black
41,177,55,black
217,116,130,black
0,223,85,black
204,23,109,white
247,166,166,black
14,75,33,white
123,186,63,black
148,90,64,white
81,191,8,black
243,254,144,black
255,29,93,black
232,236,98,black
129,175,130,black
18,123,110,white
132,84,83,white
173,110,203,black
163,71,248,black
90,136,198,black
24,133,239,black
49,2,141,white
171,147,35,black
153,247,249,black
82,57,168,white
88,116,215,black
33,215,156,black
183,154,13,black
121,81,45,white
29,205,211,black
246,205,32,black
163,234,132,black
100,86,223,white
219,43,216,black
173,21,123,white
29,196,184,black
174,98,131,black
93,233,16,black
74,60,101,white
31,225,111,black
30,225,209,black
111,182,192,black
10,211,225,black
247,173,90,black
164,143,247,black
9,72,201,white
14,193,40,black
134,192,249,black
67,204,235,black
159,215,110,black
209,23,81,white
130,187,163,black
140,51,139,white
167,212,125,black
100,101,13,white
186,199,145,black
24,17,147,white
100,6,42,white
14,35,177,white
104,176,90,black
161,35,249,white
187,147,201,black
253,121,41,black
31,144,246,black
91,54,114,white
190,186,202,black
213,226,206,black
11,52,113,white
170,237,194,black
39,68,247,white
94,243,132,black
157,27,95,white
205,10,39,white
208,19,35,white
225,203,232,black
156,227,237,black
142,74,107,white
181,108,200,black
215,115,103,black
232,219,115,black
163,144,155,black
6,128,149,white
131,129,41,black
149,200,231,black
21,25,53,white
4,105,218,white
116,255,9,black
149,101,32,white
184,67,202,black
131,29,118,white
178,44,169,white
148,229,214,black
147,195,210,black
64,28,103,white
217,212,33,black
84,226,76,black
212,164,123,black
24,80,142,white
4,139,209,black
238,55,151,black
255,64,208,black
208,175,53,black
230,119,119,black
65,20,118,white
17,204,203,black
193,214,50,black
203,95,226,black
59,170,20,black
166,215,172,black
191,190,198,black
205,68,192,black
26,242,113,black
123,3,200,white
28,126,93,white
254,94,5,black
57,10,76,white
67,180,231,black
76,195,6,black
91,192,92,black
39,106,186,white
222,8,254,black
133,170,22,black
64,40,56,white
42,242,249,black
168,81,149,white
120,51,68,white
149,45,125,white
151,23,97,white
191,127,242,black
184,43,60,white
33,125,209,black
143,107,219,black
229,205,175,black
201,40,1,white
47,113,187,white
103,84,56,white
113,127,209,black
253,250,175,black
68,131,83,black
48,62,15,white
70,235,234,black
71,85,231,white
168,0,223,white
68,42,221,white
177,13,167,white
140,241,5,black
191,103,19,black
232,15,119,black
5,245,167,black
167,58,119,white
220,150,255,black
149,17,52,white
111,87,173,white
3,8,156,white
138,208,227,black
167,33,31,white
24,92,73,white
245,116,232,black
73,65,25,white
19,109,54,white
235,110,62,black
133,207,241,black
18,12,8,white
245,126,110,black
50,92,115,white
17,130,25,white
51,229,244,black
195,50,81,white
203,205,52,black
173,133,133,black
42,151,28,black
177,98,76,black
13,46,165,white
118,217,64,black
237,92,18,black
116,182,100,black
82,141,60,black
110,234,30,black
43,46,53,white
83,69,186,white
152,149,41,black
254,154,74,black
188,230,26,black
169,121,29,black
111,207,158,black
35,1,83,white
208,192,180,black
131,41,85,white
116,73,29,white
172,35,123,white
175,217,36,black
220,163,181,black
237,110,135,black
96,124,17,white
175,80,90,white
143,118,76,black
172,83,60,white
30,110,117,white
100,45,156,white
147,52,97,white
163,116,215,black
4,75,250,white
3,234,128,black
44,74,18,white
173,242,166,black
208,109,191,black
69,165,194,black
245,176,248,black
127,70,12,white
200,163,227,black
149,6,42,white
113,249,13,black
191,85,137,black
83,94,186,white
130,222,163,black
211,150,107,black
29,139,86,black
76,75,253,white
11,99,148,white
161,89,76,white
192,145,114,black
63,137,16,black
242,83,207,black
150,30,145,white
100,129,181,black
246,190,100,black
131,126,104,black
11,9,198,white
15,21,193,white
134,86,133,white
167,202,185,black
145,12,185,white
175,38,49,white
42,253,158,black
12,129,24,white
71,50,164,white
24,93,90,white
182,13,4,white
121,32,61,white
118,100,165,white
239,191,166,black
159,165,233,black
201,69,234,black
162,229,38,black
32,237,176,black
247,75,40,black
13,235,125,black
165,247,43,black
245,96,44,black
39,96,51,white
25,230,80,black
253,84,194,black
107,170,147,black
169,78,253,black
233,76,199,black
160,34,117,white
50,35,160,white
71,118,87,white
98,244,109,black
165,85,191,black
122,35,225,white
85,23,32,white
112,0,210,white
237,35,234,black
53,198,55,black
134,144,92,black
0,57,48,white
48,84,215,white
196,8,55,white
190,150,187,black
146,233,247,black
101,133,8,black
171,21,243,white
76,41,107,white
2,123,117,white
137,219,144,black
111,166,79,black
21,69,158,white
122,51,59,white
165,56,161,white
113,255,139,black
238,199,17,black
220,118,227,black
195,136,137,black
16,177,105,black
201,67,2,white
142,109,114,white
117,230,17,black
127,237,175,black
135,166,96,black
18,237,66,black
129,140,128,black
126,190,219,black
143,91,117,white
126,237,46,black
227,4,34,white
7,54,129,white
163,247,116,black
200,205,30,black
165,103,108,black
16,40,152,white
175,75,107,white
117,234,10,black
202,9,254,black
55,182,6,black
101,241,167,black
158,24,137,white
208,211,24,black
37,40,133,white
77,71,122,white
148,106,249,black
245,25,189,black
237,65,37,black
65,55,254,white
51,118,200,white
240,216,232,black
19,244,148,black
71,125,44,white
103,126,220,black
120,129,168,black
55,52,151,white
96,107,245,black
204,154,60,black
202,226,197,black
152,35,115,white
125,89,217,white
64,199,57,black
2,78,46,white
54,232,84,black
43,227,110,black
199,232,82,black
185,175,189,black
67,109,227,white
177,67,91,white
80,141,56,black
124,229,111,black
70,216,254,black
72,87,180,white
20,69,224,white
94,5,242,white
225,56,41,black
204,214,3,black
137,16,177,white
164,237,136,black
95,213,221,black
125,73,54,white
87,153,163,black
17,68,125,white
178,95,203,black
124,195,246,black
49,67,66,white
200,9,53,white
202,58,34,white
65,181,41,black
12,8,104,white
2,220,11,black
20,100,231,white
243,13,6,black
86,179,110,black
221,236,224,black
170,245,26,black
110,209,165,black
142,221,210,black
140,93,30,white
85,95,241,white
164,197,122,black
151,55,181,white
48,214,182,black
153,190,73,black
178,159,115,black
249,47,178,black
244,13,167,black
21,215,39,black
255,29,9,black
89,162,68,black
112,247,245,black
150,57,127,white
212,135,161,black
232,121,114,black
206,106,216,black
215,219,185,black
160,86,111,white
244,52,224,black
33,109,224,white
82,197,104,black
255,93,91,black
181,102,4,black
203,167,213,black
21,132,54,white
222,198,71,black
33,144,177,black
65,143,49,black
171,91,72,white
36,30,208,white
188,123,132,black
67,205,203,black
185,198,238,black
112,245,45,black
84,194,48,black
2,238,184,black
142,161,87,black
247,161,87,black
157,56,126,white
197,25,218,white
47,155,239,black
32,237,6,black
159,136,238,black
131,252,20,black
17,21,245,white
108,105,179,white
161,106,151,black
152,225,179,black
120,106,127,white
32,96,222,white
100,164,244,black
12,80,112,white
181,98,52,black
81,134,87,black
21,95,61,white
126,180,50,black
122,35,229,white
96,115,161,white
150,17,233,white
210,176,19,black
51,153,164,black
149,193,123,black
243,202,102,black
177,115,17,black
166,20,47,white
198,211,244,black
38,92,205,white
197,134,197,black
205,82,39,black
180,248,216,black
248,169,243,black
83,104,35,white
232,9,204,black
164,173,176,black
247,83,148,black
224,11,43,white
146,77,106,white
78,35,132,white
19,157,185,black
25,111,218,white
2,173,115,black
72,71,225,white
199,50,89,white
66,150,209,black
123,247,170,black
10,78,191,white
10,229,96,black
82,182,145,black
25,65,229,white
45,53,101,white
107,15,169,white
12,190,0,black
140,217,180,black
168,90,171,black
185,11,149,white
150,56,164,white
35,35,1,white
151,121,120,black
46,186,130,black
108,10,160,white
226,174,247,black
125,117,77,white
209,170,177,black
42,250,197,black
26,162,146,black
126,154,63,black
161,82,197,white
220,219,155,black
230,102,114,black
88,230,251,black
120,111,136,white
60,221,105,black
205,14,91,white
249,130,89,black
177,227,209,black
136,105,173,black
231,177,208,black
46,200,2,black
134,31,206,white
236,49,61,black
46,124,68,white
113,154,40,black
10,110,183,white
73,192,98,black
194,7,205,white
117,64,252,white
106,184,145,black
110,61,127,white
160,37,81,white
104,161,231,black
21,4,239,white
29,183,225,black
247,66,87,black
119,74,178,white
27,21,235,white
99,58,126,white
137,22,136,white
176,92,140,black
201,224,55,black
220,78,78,black
84,37,91,white
103,4,233,white
93,103,155,white
218,158,121,black
43,152,104,black
115,104,208,black
211,104,51,black
174,198,53,black
253,126,108,black
67,235,9,black
49,91,214,white
100,98,103,white
226,218,67,black
133,145,24,black
159,199,176,black
72,255,133,black
117,209,2,black
243,240,10,black
254,183,95,black
165,127,80,black
1,107,33,white
225,14,159,black
192,93,61,black
234,130,114,black
190,65,142,white
117,79,254,white
132,122,96,black
70,18,200,white
144,238,209,black
202,209,49,black
112,106,15,white
187,48,39,white
247,182,180,black
189,31,186,white
83,212,236,black
51,200,44,black
11,106,220,white
243,76,10,black
202,74,33,white
222,250,54,black
34,206,70,black
162,2,102,white
181,40,169,white
249,186,46,black
44,85,151,white
84,47,72,white
212,250,202,black
166,247,213,black
229,250,9,black
172,128,232,black
85,125,44,white
30,20,204,white
115,150,245,black
50,181,247,black
169,151,146,black
37,0,20,white
53,124,88,white
118,246,34,black
157,23,249,white
110,57,229,white
74,135,44,black
22,22,101,white
57,106,129,white
14,20,176,white
60,237,10,black
162,132,203,black
201,253,206,black
87,95,94,white
155,203,61,black
1,84,164,white
154,189,204,black
163,243,112,black
11,101,178,white
20,153,58,black
34,3,97,white
216,15,128,white
113,101,59,white
124,112,32,white
148,44,246,white
49,27,213,white
34,118,149,white
185,67,188,black
70,244,32,black
251,35,222,black
13,90,29,white
14,249,34,black
219,118,6,black
29,183,19,black
36,123,209,black
123,116,169,black
167,238,222,black
254,213,122,black
59,81,191,white
171,177,42,black
102,232,101,black
220,108,119,black
55,200,77,black
71,77,187,white
124,180,191,black
220,84,12,black
161,92,209,black
140,69,182,white
232,41,172,black
253,56,141,black
18,223,203,black
137,220,145,black
30,27,37,white
40,214,40,black
211,221,106,black
122,172,78,black
143,58,178,white
239,71,66,black
108,201,178,black
245,165,198,black
25,238,211,black
70,245,197,black
242,23,143,black
143,51,7,white
68,98,220,white
167,222,124,black
94,39,111,white
236,113,241,black
102,233,102,black
149,108,75,white
182,164,87,black
251,19,252,black
71,233,129,black
109,207,39,black
227,189,176,black
23,223,80,black
231,110,205,black
174,253,252,black
174,227,220,black
100,134,240,black
195,25,0,white
200,118,254,black
68,221,237,black
13,198,207,black
98,88,179,white
244,246,144,black
87,113,236,black
46,122,215,black
24,150,55,black
13,160,127,black
13,58,73,white
161,224,240,black
30,117,63,white
237,14,128,black
58,238,97,black
1,57,195,white
239,173,223,black
177,189,163,black
123,2,153,white
180,101,195,black
41,92,133,white
199,199,162,black
201,98,247,black
20,244,216,black
70,26,118,white
56,68,30,white
216,95,179,black
28,49,121,white
184,120,214,black
105,173,121,black
0,178,237,black
29,62,136,white
44,221,171,black
208,253,210,black
174,172,229,black
211,137,77,black
98,25,122,white
128,251,237,black
54,236,9,black
50,76,170,white
141,253,178,black
174,168,14,black
20,86,221,white
187,63,43,white
152,246,89,black
234,127,245,black
107,248,68,black
116,99,224,black
185,52,25,white
138,181,111,black
244,207,110,black
97,210,134,black
136,235,117,black
71,217,72,black
144,213,98,black
96,12,87,white
66,185,61,black
6,2,251,white
153,1,29,white
160,34,137,white
47,81,97,white
248,56,182,black
98,214,215,black
222,245,163,black
182,42,126,white
215,198,34,black
36,155,241,black
112,151,21,black
137,73,89,white
230,209,156,black
115,104,0,white
139,128,46,black
156,231,106,black
155,147,19,black
105,73,7,white
198,100,182,black
156,244,124,black
198,88,198,black
21,65,97,white
55,165,25,black
202,209,25,black
175,82,155,white
177,10,135,white
163,214,118,black
66,159,222,black
66,70,12,white
81,37,152,white
51,218,192,black
105,61,21,white
203,177,158,black
173,83,226,black
163,39,102,white
23,19,159,white
52,171,194,black
206,159,245,black
200,150,186,black
223,176,129,black
52,2,199,white
200,117,53,black
141,72,154,white
204,74,75,black
227,243,13,black
110,172,100,black
150,52,98,white
207,66,86,white
115,72,117,white
81,64,172,white
113,207,206,black
169,216,154,black
108,52,245,white
84,119,38,white
216,101,158,black
107,67,6,white
110,137,165,black
223,50,5,black
0,83,220,white
146,102,26,white
45,74,14,white
179,85,0,white
53,209,236,black
180,103,12,black
205,233,211,black
235,202,137,black
92,242,103,black
77,54,236,white
155,167,132,black
250,72,198,black
108,8,162,white
189,13,115,white
240,237,219,black
229,93,78,black
222,138,41,black
186,2,162,white
75,192,180,black
3,119,80,white
68,170,86,black
115,41,94,white
73,130,123,black
167,57,116,white
223,49,147,black
93,216,118,black
210,111,218,black
101,136,27,black
98,33,230,white
222,163,64,black
32,206,251,black
206,242,222,black
91,16,188,white
86,24,186,white
13,64,67,white
12,158,149,black
53,116,223,black
255,18,165,black
212,228,243,black
128,219,91,black
165,174,110,black
199,199,180,black
55,151,84,black
119,40,97,white
152,37,20,white
65,106,18,white
231,254,25,black
212,88,197,black
179,109,143,black
164,102,163,black
112,244,221,black
217,140,227,black
202,22,223,black
170,174,183,black
4,129,108,white
70,189,230,black
88,143,33,black
13,25,136,white
105,171,255,black
171,37,64,white
26,132,75,white
251,247,118,black
178,190,13,black
179,217,155,black
253,120,135,black
45,251,44,black
143,61,181,white
255,252,5,black
51,128,251,black
19,74,22,white
238,23,115,black
221,102,240,black
34,77,77,white
